"ID","SexEstimate","BirthYear","MumID"
 654, 0, 1993,
 655, 0, 1994,
 656, 0, 1993,
 657, 1, 1993,
 658, 1, 1990,
 659, 0, 1993,
 660,, 1993,
 661, 1, 1993,
 662,, 1993,
 663, 0, 1993,
 664, 1, 1993,
 665, 0, 1993,
 666, 0, 1993,
 667, 1, 1994,
 668, 1, 1994,
 669, 1, 1993,
 670, 0, 1993,
 671, 0, 1993,
 672, 1, 1993,
 673, 1, 1993,
 674, 1, 1993,
 675, 0, 1993,
 676, 1, 1993,
 677, 0, 1993,
 678, 0, 1993,
 679, 0, 1993,
 680, 0, 1993,
 681, 1, 1993,
 682,, 1994,
 683,, 1994,
 684,, 1994,
 685,, 1994,
 686,, 1994,
 687,, 1994,
 688,, 1994,
 689,, 1994,
 690,, 1994,
 691,, 1994,
 692,, 1994,
 693,, 1994,
 694,, 1994,
 695,, 1994,
 696,, 1994,
 697,, 1994,
 698,, 1994,
 699,, 1994,
 700,, 1994,
 701,, 1994,
 702,, 1994,
 703,, 1994,
 704,, 1994,
 705,, 1994,
 706,, 1994,
 707,, 1994,
 708,, 1994,
 709, 1, 1991,
 710,, 1994,
 711,, 1994,
 712,, 1994,
 713,, 1994,
 714,, 1994,
 715,, 1994,
 716,, 1994,
 717,, 1994,
 718,, 1994,
 719,, 1994,
 720,, 1994,
 721,, 1994,
 722,, 1994,
 723,, 1994,
 724,, 1994,
 725,, 1994,
 726,, 1994,
 727,, 1994,
 728,, 1994,
 729,, 1994,
 730,, 1994,
 731,, 1994,
 732,, 1994,
 733,, 1994,
 734,, 1994,
 735,, 1994,
 736,, 1994,
 737,, 1994,
 738, 0, 1994,
 739,, 1994,
 740, 0, 1994,
 741,, 1994,
 742,, 1994,
 743,, 1994,
 744,, 1994,
 745,, 1994,
 746,, 1994,
 747,, 1994,
 748,, 1994,
 749,, 1994,
 750,, 1994,
 751, 0, 1994,
 752,, 1995,
 753,, 1995,
 754,, 1994,
 755,, 1994,
 756,, 1994,
 757,, 1995,
