"id","mum","dad","p","FPID","O_Terr"
1803,"1580","1040",0.975,41,76
1804,"1532","911",1,30,3
1805,"1193","1590",0.997,30,33.1
1806,"1597","1587",1,30,94
1807,"1271","1593",1,41,111
1808,"1403","849",1,30,69
1819,"1355","1802",0.941,30,53
1820,"1700","1221",1,30,50.1
1821,"1172","1171",1,41,94.1
1822,"938","1381",1,41,95
1823,"1172","1171",1,41,94.1
1824,"1419","1287",0.997,30,16
1825,"1506","1500",1,30,19
1826,"1536","1787",1,30,26.5
1827,"1563","1572",1,41,44
1828,"1508","1754",1,30,54
1829,"1190","1489",1,30,82.1
1830,"1271","1395",1,30,111
1831,"1757","1523",1,30,41.1
1832,NA,"1018",0.377,30,117
1833,"1559","1031",1,30,51.2
1843,"1490","1287",0.985,30,51.1
1844,"1415","1040",0.999,30,28.1
1845,"1685","1608",0.649,30,81
1846,"1244","1213",0.998,30,50
1847,"1763","1287",1,30,2
1848,"1059","1666",0.994,30,18
1849,"601","506",0.999,30,116
1850,"601","506",1,30,116
1851,"1195","1045",1,41,63
1852,"1247","1287",0.527,30,17
1853,"1771","1187",1,30,3.1
1854,"1771","1187",1,30,3.1
1855,"442","1543",1,30,30.1
1856,"1753","1349",1,30,12
1857,"1753","1349",1,30,12
1858,"825","1611",1,30,24
1861,NA,NA,0.616,17,16
1864,"1503","1209",1,30,23
1865,"458","1268",0.956,30,9
1866,"1409","1209",0.999,30,11
1867,"1674","1029",1,30,30.2
1868,"1384","1553",0.999,30,36
1869,"832","1604",1,30,56
1870,"1892","1754",0.928,30,55
1871,"1401","1524",1,30,85
1872,"1612","1199",0.442,30,75
1873,"1550","1724",1,31,20
1874,"1669","1213",1,30,47.1
1876,NA,"1268",0.843,30,5
1877,"1893","1524",0.998,30,64
1878,"862","1524",0.891,40,60.1
1879,"1501","1606",1,30,22
1881,"1155","453",1,30,112
1882,"639","1610",1,30,101.1
1883,"1275","1587",1,30,96
1884,"1580","1512",0.962,30,76
1885,"1024","1412",1,30,87
1886,"1517","544",0.948,41,103.1
1887,"1429","1759",1,30,92
1888,"2987","1676",0.863,30,37
1889,"1170","1609",0.997,30,64
1890,"1735","1381",1,30,73
1891,"1541","509",1,41,87
1892,"832","1534",1,40,56
1893,"1403","849",0.964,40,69
1894,"503","1214",1,41,25
1895,"912","1348",1,30,1
1896,"1305","1595",1,30,47
1897,"927","501",0.998,30,1.1
2959,"919","510",1,30,86
2960,"1369","1744",0.999,30,43
2962,"1763","1287",1,32,2
2963,"1672","1533",1,31,67
2964,"1559","1435",0.998,41,51.2
2965,"1559","1031",1,31,51.2
